population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,560,Oregon,2,Female,25,50-69 years,491,Cardiovascular diseases,2,Percent,2023,0.17227006648454127,0.18445591381762214,0.15972990547923696
1,All Population,1,Deaths,560,Oregon,1,Male,25,50-69 years,491,Cardiovascular diseases,3,Rate,2023,273.45789308778967,291.02859592918855,255.68559737221926
1,All Population,1,Deaths,560,Oregon,2,Female,25,50-69 years,491,Cardiovascular diseases,3,Rate,2023,125.23934959856132,136.24049688554314,113.45545944033914
1,All Population,1,Deaths,560,Oregon,1,Male,41,50-74 years,491,Cardiovascular diseases,1,Number,2023,2182.353172063271,2316.627640787963,2045.3441904253189
1,All Population,1,Deaths,560,Oregon,2,Female,41,50-74 years,491,Cardiovascular diseases,1,Number,2023,1090.9374085268346,1179.4187706072544,988.6243468582147
1,All Population,1,Deaths,560,Oregon,1,Male,41,50-74 years,491,Cardiovascular diseases,2,Percent,2023,0.24931668597482073,0.26088047703334555,0.23624143314237928
1,All Population,1,Deaths,560,Oregon,2,Female,41,50-74 years,491,Cardiovascular diseases,2,Percent,2023,0.18602938437111788,0.19955991677847348,0.17069208872233665
1,All Population,1,Deaths,560,Oregon,1,Male,41,50-74 years,491,Cardiovascular diseases,3,Rate,2023,349.32167401435373,370.81452072346457,327.39112334389444
1,All Population,1,Deaths,560,Oregon,2,Female,41,50-74 years,491,Cardiovascular diseases,3,Rate,2023,167.21886832745184,180.78129007549612,151.53632389032754
1,All Population,1,Deaths,560,Oregon,1,Male,11,30-34 years,492,Rheumatic heart disease,1,Number,2023,0.5060507594857795,0.6724739069189541,0.3822111566902146
1,All Population,1,Deaths,560,Oregon,2,Female,11,30-34 years,492,Rheumatic heart disease,1,Number,2023,0.41163360564717577,0.563166732222107,0.3122090665928299
1,All Population,1,Deaths,560,Oregon,1,Male,11,30-34 years,492,Rheumatic heart disease,2,Percent,2023,0.0011731454886954426,0.0015246503397533821,0.0009087117664363798
1,All Population,1,Deaths,560,Oregon,2,Female,11,30-34 years,492,Rheumatic heart disease,2,Percent,2023,0.0028413470976917754,0.0038403438838350893,0.0021527773955868986
1,All Population,1,Deaths,560,Oregon,1,Male,11,30-34 years,492,Rheumatic heart disease,3,Rate,2023,0.31663664660108515,0.4207678356809804,0.23915003915988042
1,All Population,1,Deaths,560,Oregon,2,Female,11,30-34 years,492,Rheumatic heart disease,3,Rate,2023,0.267083715168512,0.3654042358002091,0.20257325026659537
1,All Population,1,Deaths,560,Oregon,1,Male,12,35-39 years,492,Rheumatic heart disease,1,Number,2023,0.7195742744898856,0.9330171865976513,0.5527392446947283
1,All Population,1,Deaths,560,Oregon,2,Female,12,35-39 years,492,Rheumatic heart disease,1,Number,2023,0.5578764750647737,0.7030371530424775,0.4226133936770389
1,All Population,1,Deaths,560,Oregon,1,Male,12,35-39 years,492,Rheumatic heart disease,2,Percent,2023,0.001536883919070625,0.0019397840013214995,0.0011981109481998904
1,All Population,1,Deaths,560,Oregon,2,Female,12,35-39 years,492,Rheumatic heart disease,2,Percent,2023,0.002883903948841195,0.0036344042380199925,0.0022223067670038383
1,All Population,1,Deaths,560,Oregon,1,Male,12,35-39 years,492,Rheumatic heart disease,3,Rate,2023,0.4589385333131524,0.5950706610191756,0.3525325282711785
1,All Population,1,Deaths,560,Oregon,2,Female,12,35-39 years,492,Rheumatic heart disease,3,Rate,2023,0.37257350300124853,0.469517942692687,0.28223909688828225
1,All Population,1,Deaths,560,Oregon,1,Male,13,40-44 years,492,Rheumatic heart disease,1,Number,2023,0.8199298181498755,1.0524855475390804,0.635884109370281
1,All Population,1,Deaths,560,Oregon,2,Female,13,40-44 years,492,Rheumatic heart disease,1,Number,2023,0.6972889300892787,0.8641993645582742,0.5531573739457706
1,All Population,1,Deaths,560,Oregon,1,Male,13,40-44 years,492,Rheumatic heart disease,2,Percent,2023,0.0014816224375494604,0.0018489739912131346,0.0011982646951314761
1,All Population,1,Deaths,560,Oregon,2,Female,13,40-44 years,492,Rheumatic heart disease,2,Percent,2023,0.002834215946732933,0.0035037197046728064,0.002229397772088848
1,All Population,1,Deaths,560,Oregon,1,Male,13,40-44 years,492,Rheumatic heart disease,3,Rate,2023,0.5344903536084067,0.6860872235885348,0.4145158706853644
1,All Population,1,Deaths,560,Oregon,2,Female,13,40-44 years,492,Rheumatic heart disease,3,Rate,2023,0.47216202641995714,0.5851837102138268,0.3745648257716299
1,All Population,1,Deaths,560,Oregon,1,Male,14,45-49 years,492,Rheumatic heart disease,1,Number,2023,0.8644711075940467,1.0703484513892516,0.6865778768243106
