DATAFLOW,Geographic area,INDICATOR,RESIDENCE,SEX,Current age,TIME_PERIOD,OBS_VALUE,DATA_SOURCE,UNIT_MEASURE,UNIT_MULTIPLIER,SOURCE_LINK,SERIES_FOOTNOTE,OBS_FOOTNOTE,OBS_STATUS
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2020,20.54,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2021,20.22,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2022,19.846,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2023,19.425,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2024,18.976,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_030: Eastern Asia (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2025,18.497,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2016,28.098,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2017,27.943,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2018,27.771,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2019,27.591,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2020,27.456,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2021,27.341,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2022,27.205,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2023,27.043,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2024,26.855,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_009: Oceania (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2025,26.655,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2016,50.477,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2017,50.152,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2018,49.795,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2019,49.414,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2020,49.036,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2021,48.666,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2022,48.291,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_014: Eastern Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2023,47.897,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
